Year,Champions_Countries,Champions,Runners_up_Countries,Runners-up,Score_in_final
1969,"AUS, AUS","Margaret Court, Judy Tegart-Dalton","USA, USA","Rosemary Casals, Billie Jean King","6–4, 6–4"
1970,"AUS, AUS","Margaret Court, Judy Tegart-Dalton","AUS, AUS","Karen Krantzcke, Kerry Melville Reid","6–3, 6–1"
1971,"AUS, AUS","Evonne Goolagong, Margaret Court","AUS, AUS","Jill Emmerson, Lesley Hunt","6–0, 6–0"
1972,"AUS, AUS","Kerry Harris, Helen Gourlay Cawley","AUS, AUS","Patricia Coleman, Karen Krantzcke","6–0, 6–4"
1973,"AUS, GBR","Margaret Court, Virginia Wade","AUS, AUS","Kerry Harris, Kerry Melville","6–4, 6–4"
1974,"AUS, USA","Evonne Goolagong, Peggy Michel","AUS, AUS","Kerry Harris, Kerry Melville","7–5, 6–3"
1975,"AUS, USA","Evonne Goolagong Cawley, Peggy Michel","AUS, RUS","Margaret Court, Olga Morozova","7–6, 7–6"
1976,"AUS, AUS","Evonne Goolagong Cawley, Helen Gourlay Cawley","AUS, CZE","Lesley Turner Bowrey, Renáta Tomanová",8–1
1977,"AUS, AUS","Dianne Fromholtz, Helen Gourlay Cawley","AUS, USA","Kerry Melville Reid, Betsy Nagelsen","5–7, 6–1, 7–5"
1977,"AUS, AUS","Evonne Goolagong Cawley, Helen Gourlay Cawley","USA, AUS","Mona Schallau Guerrant, Kerry Melville Reid",Shared due to rain–out
1978,"USA, CZE","Betsy Nagelsen, Renáta Tomanová","JPN, AUS","Naoko Sato, Pam Whytcross","7–5, 6–2"
1979,"NZL, AUS","Judy Connor Chaloner, Diane Evers Brown","AUS, NLD","Leanne Harrison, Marcella Mesker","6–1, 3–6, 6–0"
1980,"USA, USA","Martina Navratilova, Betsy Nagelsen","USA, USA","Ann Kiyomura, Candy Reynolds","6–4, 6–4"
1981,"USA, USA","Kathy Jordan, Anne Smith","USA, USA","Martina Navratilova, Pam Shriver","6–2, 7–5"
1982,"USA, USA","Martina Navratilova, Pam Shriver","DEU, DEU","Claudia Kohde-Kilsch, Eva Pfaff","6–4, 6–2"
1983,"USA, USA","Martina Navratilova, Pam Shriver","GBR, AUS","Anne Hobbs, Wendy Turnbull","6–4, 6–7, 6–2"
1984,"USA, USA","Martina Navratilova, Pam Shriver","DEU, CZE","Claudia Kohde-Kilsch, Helena Suková","6–3, 6–4"
1985,"USA, USA","Martina Navratilova, Pam Shriver","DEU, CZE","Claudia Kohde-Kilsch, Helena Suková","6–3, 6–4"
1987,"USA, USA","Martina Navratilova, Pam Shriver","USA, USA","Zina Garrison, Lori McNeil","6–1, 6–0"
1988,"USA, USA","Martina Navratilova, Pam Shriver","USA, AUS","Chris Evert, Wendy Turnbull","6–0, 7–5"
1989,"USA, USA","Martina Navratilova, Pam Shriver","USA, CAN","Patty Fendick, Jill Hetherington","3–6, 6–3, 6–2"
1990,"CZE, CZE","Jana Novotná, Helena Suková","USA, USA","Patty Fendick, Mary Joe Fernández","7–6(7–5), 7–6(8–6)"
1991,"USA, USA","Patty Fendick, Mary Joe Fernández","USA, CZE","Gigi Fernández, Jana Novotná","7–6(7–4), 6–1"
1992,"ESP, CZE","Arantxa Sánchez Vicario, Helena Suková","USA, USA","Mary Joe Fernández, Zina Garrison","6–4, 7–6(7–3)"
1993,"USA, BLR","Gigi Fernández, Natalia Zvereva","USA, AUS","Pam Shriver, Elizabeth Sayers Smylie","6–4, 6–3"
1994,"USA, BLR","Gigi Fernández, Natalia Zvereva","USA, USA","Patty Fendick, Meredith McGrath","6–4, 4–6, 6–4"
1995,"CZE, ESP","Jana Novotná, Arantxa Sánchez Vicario","USA, BLR","Gigi Fernández, Natalia Zvereva","6–3, 6–7(7–9), 6–4"
1996,"USA, ESP","Chanda Rubin, Arantxa Sánchez Vicario","USA, USA","Lindsay Davenport, Mary Joe Fernández","7–5, 2–6, 6–4"
1997,"CHE, BLR","Martina Hingis, Natalia Zvereva","USA, USA","Lindsay Davenport, Lisa Raymond","6–2, 6–2"
1998,"CHE, HRV","Martina Hingis, Mirjana Lučić","USA, BLR","Lindsay Davenport, Natalia Zvereva","6–4, 2–6, 6–3"
1999,"CHE, RUS","Martina Hingis, Anna Kournikova","USA, BLR","Lindsay Davenport, Natalia Zvereva","7–5, 6–3"
2000,"USA, AUS","Lisa Raymond, Rennae Stubbs","CHE, FRA","Martina Hingis, Mary Pierce","6–4, 5–7, 6–4"
2001,"USA, USA","Serena Williams, Venus Williams","USA, USA","Lindsay Davenport, Corina Morariu","6–2, 4–6, 6–4"
2002,"CHE, RUS","Martina Hingis, Anna Kournikova","SVK, ESP","Daniela Hantuchová, Arantxa Sánchez Vicario","6–2, 6–7(7–9), 6–1"
2003,"USA, USA","Serena Williams, Venus Williams","ESP, ARG","Virginia Ruano Pascual, Paola Suárez","4–6, 6–4, 6–3"
2004,"ESP, ARG","Virginia Ruano Pascual, Paola Suárez","RUS, RUS","Svetlana Kuznetsova, Elena Likhovtseva","6–4, 6–3"
2005,"RUS, AUS","Svetlana Kuznetsova, Alicia Molik","USA, USA","Lindsay Davenport, Corina Morariu","6–3, 6–4"
2006,"CHN, CHN","Yan Zi, Zheng Jie","USA, AUS","Lisa Raymond, Samantha Stosur","2–6, 7–6(9–7), 6–3"
2007,"ZWE, ZAF","Cara Black, Liezel Huber","TWN, TWN","Chan Yung-jan, Chuang Chia-jung","6–4, 6–7(4–7), 6–1"
2008,"UKR, UKR","Alona Bondarenko, Kateryna Bondarenko","BLR, ISR","Victoria Azarenka, Shahar Pe'er","2–6, 6–1, 6–4"
2009,"USA, USA","Serena Williams, Venus Williams","SVK, JPN","Daniela Hantuchová, Ai Sugiyama","6–3, 6–3"
2010,"USA, USA","Serena Williams, Venus Williams","ZWE, USA","Cara Black, Liezel Huber","6–4, 6–3"
2011,"ARG, ITA","Gisela Dulko, Flavia Pennetta","BLR, RUS","Victoria Azarenka, Maria Kirilenko","2–6, 7–5, 6–1"
2012,"RUS, RUS","Svetlana Kuznetsova, Vera Zvonareva","ITA, ITA","Sara Errani, Roberta Vinci","5–7, 6–4, 6–3"
2013,"ITA, ITA","Sara Errani, Roberta Vinci","AUS, AUS","Ashleigh Barty, Casey Dellacqua","6–2, 3–6, 6–2"
2014,"ITA, ITA","Sara Errani, Roberta Vinci","RUS, RUS","Ekaterina Makarova, Elena Vesnina","6–4, 3–6, 7–5"
2015,"USA, CZE","Bethanie Mattek-Sands, Lucie Šafářová","TWN, CHN","Chan Yung-jan, Zheng Jie","6–4, 7–6(7–5)"
2016,"CHE, IND","Martina Hingis, Sania Mirza","CZE, CZE","Andrea Hlaváčková, Lucie Hradecká","7–6(7–1), 6–3"
2017,"USA, CZE","Bethanie Mattek-Sands, Lucie Šafářová","CZE, CHN","Andrea Hlaváčková, Peng Shuai","6–7(4–7), 6–3, 6–3"
2018,"HUN, FRA","Tímea Babos, Kristina Mladenovic","RUS, RUS","Ekaterina Makarova, Elena Vesnina","6–4, 6–3"
2019,"AUS, CHN","Samantha Stosur, Zhang Shuai","HUN, FRA","Tímea Babos, Kristina Mladenovic","6–3, 6–4"
2020,"HUN, FRA","Tímea Babos, Kristina Mladenovic","TWN, CZE","Hsieh Su-wei, Barbora Strýcová","6–2, 6–1"
2021,"BEL, BLR","Elise Mertens, Aryna Sabalenka","CZE, CZE","Barbora Krejčíková, Kateřina Siniaková","6–2, 6–3"
2022,"CZE, CZE","Barbora Krejčíková, Kateřina Siniaková","KAZ, BRA","Anna Danilina, Beatriz Haddad Maia","6–7(3–7), 6–4, 6–4"
2023,"CZE, CZE","Barbora Krejčíková, Kateřina Siniaková","JPN, JPN","Shuko Aoyama, Ena Shibahara","6–4, 6–3"
2024,"TWN, BEL","Hsieh Su-wei, Elise Mertens","UKR, LVA","Lyudmyla Kichenok, Jeļena Ostapenko","6–1, 7–5"
2025,"CZE, USA","Kateřina Siniaková, Taylor Townsend","TWN, LVA","Hsieh Su-wei, Jeļena Ostapenko","6–2, 6–7(4–7), 6–3"
